
 
('So', 21)
 
('whose', 21)
 
('pocket', 21)
 
('chance', 21)
 
('John', 21)
 
('poor', 21)
 
('need', 21)
 
('husband', 21)
 
('sight', 21)
 
('points', 21)
 
('yes', 21)
 
('thin', 21)
 
('return', 21)
 
('Hosmer', 21)
 
('occurred', 21)
 
('public', 21)
 
('Foundation', 21)
 
('almost', 20)
 
('account', 20)
 
('shown', 20)
 
('order', 20)
 
('Your', 20)
 
('sent', 20)
 
('“Pray', 20)
 
('caught', 20)
 
('doing', 20)
 
('laughed', 20)
 
('“Very', 20)
 
('remarkable', 20)
 
('quietly', 20)
 
('towards', 20)
 
('‘I', 20)
 
('cause', 20)
 
('showed', 20)
 
('safe', 20)
 
('afraid', 20)
 
('body', 20)
 
('girl', 20)
 
('everything', 20)
 
('talk', 20)
 
('happened', 20)
 
('seeing', 20)
 
('OF', 19)
 
('placed', 19)
 
('extraordinary', 19)
 
('problem', 19)
 
('How', 19)
 
('clothes', 19)
 
('that”', 19)
 
('peculiar', 19)
 
('interesting', 19)
 
('voice', 19)
 
('speak', 19)
 
('line', 19)
 
('none', 19)
 
('reached', 19)
 
('ourselves', 19)
 
('quiet', 19)
 
('carriage', 19)
 
('“They', 19)
 
('train', 19)
 
('rest', 19)
 
('“In', 19)
 
('bird', 19)
 
('charge', 19)
 
('Arthur', 18)
 
('love', 18)
 
('All', 18)
 
('remained', 18)
 
('figure', 18)
 
('glad', 18)
 
('observe', 18)
 
('so”', 18)
 
('received', 18)
 
('“Not', 18)
 
('Do', 18)
 
('hundred', 18)
 
('Here', 18)
 
('coat', 18)
 
('single', 18)
 
('slowly', 18)
 
('“If', 18)
 
('bedroom', 18)
 
('listened', 18)
 
('others', 18)
 
('fresh', 18)
 
('direction', 18)
 
('fell', 18)
 
('Well', 18)
 
('“Ah', 18)
 
('effect', 18)
 
('experience', 18)
 
('colour', 18)
 
('low', 18)
 
('pipe', 18)
 
('danger', 18)
 
('silent', 18)
 
('mother', 18)
 
('James', 18)
 
('Neville', 18)
 
('copyright', 18)
 
('States', 17)
 
('To', 17)
 
('fashion', 17)
 
('dreadful', 17)
 
('someone', 17)
 
('laughing', 17)
 
('“When', 17)
 
('appears', 17)
 
('simple', 17)
 
('By', 17)
 
('itself', 17)
 
('glance', 17)
 
('character', 17)
 
('state', 17)
 
('“Why', 17)
 
('sign', 17)
 
('close', 17)
 
('certain', 17)
 
('important', 17)
 
('pulled', 17)
 
('meet', 17)
 
('afterwards', 17)
 
('Holmes’', 17)
 
('drew', 17)
 
('change', 17)
 
('kind', 17)
 
('lips', 17)
 
('seem', 17)
 
('weeks', 17)
 
('locked', 17)
 
('No', 17)
 
('advice', 17)
 
('happy', 17)
 
('instantly', 17)
 
('along', 17)
 
('I’ll', 17)
 
('surprised', 17)
 
('feel', 17)
 
('means', 17)
 
('stepfather', 17)
 
('law', 17)
 
('miles', 17)
 
('feeling', 17)
 
('Stoner', 17)
 
('Frank', 17)
 
('agreement', 17)
 
('United', 16)
 
('following', 16)
 
('show', 16)
 
('explain', 16)
 
('matters', 16)
 
('importance', 16)
 
